#site1    site2      values
486       510      0.054
487       488      0.054
487       510      0.054
487       511      0.054
488       489      0.054
488       511      0.054
488       512      0.054
489       490      0.054
489       512      0.054
489       513      0.054
490       491      0.054
490       513      0.054
490       514      0.054
491       492      0.054
491       514      0.054
491       515      0.054
492       493      0.054
492       515      0.054
492       516      0.054
493       494      0.054
493       516      0.054
493       517      0.054
494       495      0.054
494       517      0.054
494       518      0.054
495       496      0.054
495       518      0.054
495       519      0.054
496       497      0.054
496       519      0.054
496       520      0.054
497       498      0.054
497       520      0.054
497       521      0.054
498       499      0.054
498       521      0.054
498       522      0.054
499       500      0.054
499       522      0.054
499       523      0.054
500       501      0.054
500       523      0.054
500       524      0.054
501       502      0.054
501       524      0.054
501       525      0.054
502       503      0.054
502       525      0.054
502       526      0.054
503       526      0.054
503       527      0.054
504       505      0.054
504       527      0.054
504       528      0.054
504       551      0.054
505       506      0.054
505       528      0.054
505       529      0.054
506       507      0.054
506       529      0.054
506       530      0.054
507       508      0.054
507       530      0.054
507       531      0.054
508       509      0.054
508       531      0.054
508       532      0.054
509       510      0.054
509       532      0.054
509       533      0.054
510       511      0.054
510       533      0.054
510       534      0.054
511       512      0.054
511       534      0.054
511       535      0.054
512       513      0.054
512       535      0.054
512       536      0.054
513       514      0.054
513       536      0.054
513       537      0.054
514       515      0.054
514       537      0.054
514       538      0.054
515       516      0.054
515       538      0.054
515       539      0.054
516       517      0.054
516       539      0.054
516       540      0.054
517       518      0.054
517       540      0.054
517       541      0.054
518       519      0.054
518       541      0.054
518       542      0.054
519       520      0.054
519       542      0.054
519       543      0.054
520       521      0.054
520       543      0.054
520       544      0.054
521       522      0.054
521       544      0.054
521       545      0.054
522       523      0.054
522       545      0.054
522       546      0.054
523       524      0.054
523       546      0.054
523       547      0.054
524       525      0.054
524       547      0.054
524       548      0.054
525       526      0.054
525       548      0.054
525       549      0.054
526       527      0.054
526       549      0.054
526       550      0.054
527       550      0.054
527       551      0.054
528       529      0.054
528       551      0.054
528       552      0.054
528       575      0.054
529       530      0.054
529       552      0.054
529       553      0.054
530       531      0.054
530       553      0.054
530       554      0.054
531       532      0.054
531       554      0.054
531       555      0.054
532       533      0.054
532       555      0.054
532       556      0.054
533       534      0.054
533       556      0.054
533       557      0.054
534       535      0.054
534       557      0.054
534       558      0.054
535       536      0.054
535       558      0.054
535       559      0.054
536       537      0.054
536       559      0.054
536       560      0.054
537       538      0.054
537       560      0.054
537       561      0.054
538       539      0.054
538       561      0.054
538       562      0.054
539       540      0.054
539       562      0.054
539       563      0.054
540       541      0.054
540       563      0.054
540       564      0.054
541       542      0.054
541       564      0.054
541       565      0.054
542       543      0.054
542       565      0.054
542       566      0.054
543       544      0.054
543       566      0.054
543       567      0.054
544       545      0.054
544       567      0.054
544       568      0.054
545       546      0.054
545       568      0.054
545       569      0.054
546       547      0.054
546       569      0.054
546       570      0.054
547       548      0.054
547       570      0.054
547       571      0.054
548       549      0.054
548       571      0.054
548       572      0.054
549       550      0.054
549       572      0.054
549       573      0.054
550       551      0.054
550       573      0.054
550       574      0.054
551       574      0.054
551       575      0.054
552       553      0.054
552       575      0.054
553       554      0.054
554       555      0.054
555       556      0.054
556       557      0.054
557       558      0.054
558       559      0.054
559       560      0.054
560       561      0.054
561       562      0.054
562       563      0.054
563       564      0.054
564       565      0.054
565       566      0.054
566       567      0.054
567       568      0.054
568       569      0.054
569       570      0.054
570       571      0.054
571       572      0.054
572       573      0.054
573       574      0.054
574       575      0.054
